data;temperatura_observada;temperatura_prevista;estacao
2024-01-22;22.537499999999998;21.26308323674825;BRASILIA
2024-01-23;22.479166666666668;21.35614097559904;BRASILIA
2024-01-24;22.004166666666666;21.46408479380432;BRASILIA
2024-01-25;22.587500000000002;21.680129994722655;BRASILIA
2024-01-26;20.9375;21.263942888894007;BRASILIA
2024-01-27;21.479166666666668;21.65601579266388;BRASILIA
2024-01-28;21.833333333333332;20.932551296265853;BRASILIA
2024-01-29;22.22083333333333;21.147377457887007;BRASILIA
2024-01-30;22.754166666666666;21.489512960992325;BRASILIA
2024-01-31;21.429166666666664;20.84317999977343;BRASILIA
2024-02-01;21.891666666666666;21.167333706547158;BRASILIA
2024-02-02;22.09166666666667;21.476629981683782;BRASILIA
2024-02-03;21.929166666666664;21.55023460068633;BRASILIA
2024-02-04;22.395833333333332;21.82007406473652;BRASILIA
