REGI?O:;UF:;ESTAC?O:;CODIGO (WMO):;LATITUDE:;LONGITUDE:;ALTITUDE:;Arquivo
SE;MG;MONTALVANIA;A526;-14.408228;-44.404123;519.52;INMET_SE_MG_A526_MONTALVANIA_01-01-2019_A_31-12-2019.CSV
CO;GO;POSSE;A017;-14.08921;-46.366497;830.0;INMET_CO_GO_A017_POSSE_01-01-2019_A_31-12-2019.CSV
SE;MG;SERRA DOS AIMORES;A522;-17.798799;-40.249933;211.97;INMET_SE_MG_A522_SERRA DOS AIMORES_01-01-2019_A_31-12-2019.CSV
SE;MG;GUARDA-MOR;A546;-17.56138888;-47.19916666;997.01;INMET_SE_MG_A546_GUARDA-MOR_01-01-2019_A_31-12-2019.CSV
SE;MG;UNAI;A542;-16.554101;-46.881935;640.85;INMET_SE_MG_A542_UNAI_01-01-2019_A_31-12-2019.CSV
CO;MS;CHAPADAO DO SUL;A730;-18.802187;-52.60262;820.82;INMET_CO_MS_A730_CHAPADAO DO SUL_01-01-2019_A_31-12-2019.CSV
CO;MS;NOVA ANDRADINA;S713;-22.078528;-53.465889;372.0;INMET_CO_MS_S713_NOVA ANDRADINA_01-01-2019_A_31-12-2019.CSV
NE;BA;REMANSO;A423;-9.625693;-42.077214;397.4;INMET_NE_BA_A423_REMANSO_01-01-2019_A_31-12-2019.CSV
S;PR;CASTRO;A819;-24.786954;-49.999266;993.6;INMET_S_PR_A819_CASTRO_01-01-2019_A_31-12-2019.CSV
NE;BA;FORMOSO DO RIO PRETO;A452;-11.052164;-45.200769;488.0;INMET_NE_BA_A452_FORMOSO DO RIO PRETO_01-01-2019_A_31-12-2019.CSV
N;PA;NOVO REPARTIMENTO;A235;-4.243989;-49.939308;100.76;INMET_N_PA_A235_NOVO REPARTIMENTO_01-01-2019_A_31-12-2019.CSV
S;SC;JOACABA;A841;-27.169268;-51.558963;767.63;INMET_S_SC_A841_JOACABA_01-01-2019_A_31-12-2019.CSV
SE;MG;CARATINGA;A554;-19.735757;-42.137146;609.25;INMET_SE_MG_A554_CARATINGA_01-01-2019_A_31-12-2019.CSV
SE;MG;JANUARIA;A559;-15.448089;-44.366313;468.0;INMET_SE_MG_A559_JANUARIA_01-01-2019_A_31-12-2019.CSV
N;TO;MARIANOPOLIS DO TO;A041;-9.576389;-49.723333;186.69;INMET_N_TO_A041_MARIANOPOLIS DO TO_01-01-2019_A_31-12-2019.CSV
N;AM;URUCARA;A124;-2.534749;-57.758099;18.49;INMET_N_AM_A124_URUCARA_01-01-2019_A_31-12-2019.CSV
S;RS;IBIRUBA;A883;-28.653458;-53.111881;455.27;INMET_S_RS_A883_IBIRUBA_01-01-2019_A_31-12-2019.CSV
SE;SP;BAURU;A705;-22.358052;-49.028877;636.17;INMET_SE_SP_A705_BAURU_01-01-2019_A_31-12-2019.CSV
CO;MT;SANTO ANTONIO DO LESTE;A931;-14.92777777;-53.8836111;664.21;INMET_CO_MT_A931_SANTO ANTONIO DO LESTE_01-01-2019_A_31-12-2019.CSV
NE;RN;ARQ.SAO PEDRO E SAO PAULO;A302;0.916877;-29.345904;15.0;INMET_NE_RN_A302_ARQ.SAO PEDRO E SAO PAULO_01-01-2019_A_31-12-2019.CSV
NE;PI;OEIRAS;A354;-6.974135;-42.146831;154.03;INMET_NE_PI_A354_OEIRAS_01-01-2019_A_31-12-2019.CSV
S;SC;LAGES;A865;-27.802228;-50.335457;952.7;INMET_S_SC_A865_LAGES_01-01-2019_A_31-12-2019.CSV
CO;MT;CUIABA;A901;-15.559295;-56.062951;241.56;INMET_CO_MT_A901_CUIABA_01-01-2019_A_31-12-2019.CSV
