data;precipitacao_observada;precipitacao_prevista
2024-08-04;21.317;21.293
2024-08-05;21.245;21.363
2024-08-06;21.211;21.439
2024-08-07;21.149;21.521
2024-08-08;21.177;21.608
2024-08-09;22.262;21.701
2024-08-10;19.686;21.799
2024-08-11;20.108;21.902
2024-08-12;20.869;22.01
2024-08-13;20.23;22.121
2024-08-14;22.645;22.236
2024-08-15;24.149;22.354
2024-08-16;24.523;22.474
2024-08-17;24.121;22.595
2024-08-18;22.747;22.717
2024-08-19;23.265;22.839
2024-08-20;23.781;22.961
2024-08-21;22.988;23.081
2024-08-22;24.498;23.2
2024-08-23;24.982;23.317
2024-08-24;25.091;23.43
2024-08-25;23.265;23.541
2024-08-26;21.148;23.649
2024-08-27;22.707;23.753
2024-08-28;23.767;23.854
2024-08-29;22.439;23.952
2024-08-30;22.367;24.046
2024-08-31;23.395;24.136
2024-09-01;24.054;24.224
2024-09-02;24.858;24.308
2024-09-03;24.196;24.39
2024-09-04;24.928;24.469
2024-09-05;26.039;24.547
2024-09-06;26.849;24.622
2024-09-07;24.963;24.696
2024-09-08;23.436;24.768
2024-09-09;23.829;24.839
2024-09-10;23.794;24.909
2024-09-11;24.158;24.978
2024-09-12;25.174;25.046
2024-09-13;25.659;25.112
2024-09-14;25.725;25.177
2024-09-15;26.042;25.241
2024-09-16;26.499;25.303
2024-09-17;26.406;25.362
2024-09-18;26.912;25.419
2024-09-19;26.2;25.473
2024-09-20;25.357;25.524
2024-09-21;26.443;25.57
2024-09-22;27.52;25.613
2024-09-23;27.958;25.65
2024-09-24;28.088;25.682
2024-09-25;27.988;25.709
2024-09-26;27.476;25.729
2024-09-27;27.491;25.743
2024-09-28;27.464;25.75
2024-09-29;26.072;25.751
2024-09-30;25.928;25.744
2024-10-01;26.05;25.729
2024-10-02;26.8;25.708
2024-10-03;28.172;25.679
2024-10-04;30.066;25.643
2024-10-05;29.12;25.6
2024-10-06;29.295;25.55
2024-10-07;27.234;25.494
2024-10-08;26.16;25.431
2024-10-09;26.872;25.363
2024-10-10;23.411;25.29
2024-10-11;24.797;25.211
2024-10-12;23.564;25.129
2024-10-13;25.638;25.042
2024-10-14;25.754;24.951
2024-10-15;21.969;24.858
2024-10-16;22.232;24.761
2024-10-17;20.758;24.663
2024-10-18;21.93;24.562
2024-10-19;21.284;24.46
2024-10-20;21.66;24.358
2024-10-21;22.786;24.254
2024-10-22;22.635;24.15
2024-10-23;23.073;24.046
2024-10-24;24.503;23.942
2024-10-25;22.712;23.838
2024-10-26;24.876;23.736
2024-10-27;24.079;23.635
2024-10-28;24.703;23.535
2024-10-29;23.31;23.437
2024-10-30;21.934;23.341
2024-10-31;20.852;23.248
2024-11-01;21.338;23.158
2024-11-02;22.376;23.071
2024-11-03;22.702;22.987
2024-11-04;24.329;22.908
2024-11-05;20.166;22.834
2024-11-06;22.596;22.764
2024-11-07;22.09;22.699
2024-11-08;20.847;22.64
2024-11-09;20.967;22.587
2024-11-10;23.432;22.541
2024-11-11;22.318;22.501
2024-11-12;22.889;22.467
2024-11-13;22.247;22.441
2024-11-14;21.01;22.421
2024-11-15;19.835;22.409
2024-11-16;22.112;22.403
2024-11-17;20.948;22.403
2024-11-18;23.181;22.41
2024-11-19;24.102;22.423
2024-11-20;24.414;22.441
2024-11-21;24.382;22.464
2024-11-22;22.499;22.491
2024-11-23;22.025;22.521
2024-11-24;21.939;22.554
2024-11-25;22.343;22.589
2024-11-26;23.027;22.624
2024-11-27;23.494;22.66
2024-11-28;24.077;22.695
2024-11-29;23.547;22.728
2024-11-30;24.448;22.758
2024-12-01;23.766;22.785
2024-12-02;22.762;22.808
2024-12-03;23.849;22.826
2024-12-04;23.607;22.84
2024-12-05;23.266;22.847
2024-12-06;25.166;22.849
2024-12-07;25.63;22.845
2024-12-08;25.276;22.835
2024-12-09;24.374;22.82
2024-12-10;24.753;22.798
2024-12-11;23.626;22.772
2024-12-12;22.873;22.741
2024-12-13;23.739;22.706
2024-12-14;23.521;22.669
2024-12-15;21.716;22.628
2024-12-16;22.814;22.587
2024-12-17;22.341;22.545
2024-12-18;22.714;22.503
2024-12-19;23.621;22.463
2024-12-20;23.592;22.425
2024-12-21;22.784;22.391
2024-12-22;21.708;22.36
2024-12-23;22.569;22.335
2024-12-24;21.996;22.315
2024-12-25;21.987;22.301
2024-12-26;21.768;22.294
2024-12-27;22.278;22.293
2024-12-28;23.433;22.299
2024-12-29;22.216;22.313
2024-12-30;21.934;22.333
2024-12-31;21.801;22.359
