data;temperatura_minima_observada;temperatura_minima_prevista
2024-01-16;22.001;21.575
2024-01-17;23.485;21.887
2024-01-18;23.006;23.123
2024-01-19;23.173;22.386
2024-01-20;23.46;22.765
2024-01-21;22.464;22.888
2024-01-22;22.016;21.995
2024-01-23;21.73;21.834
2024-01-24;21.588;21.59
2024-01-25;22.057;21.523
2024-01-26;21.02;21.941
2024-01-27;21.383;20.914
2024-01-28;21.465;21.509
2024-01-29;21.991;21.387
2024-01-30;22.213;21.902
2024-01-31;21.171;21.953
2024-02-01;21.34;21.04
2024-02-02;21.673;21.422
2024-02-03;21.505;21.581
2024-02-04;22.022;21.407
2024-02-05;21.664;21.907
2024-02-06;20.857;21.455
2024-02-07;22.206;20.879
2024-02-08;21.8;22.195
2024-02-09;22.125;21.479
2024-02-10;20.679;21.997
2024-02-11;19.601;20.564
2024-02-12;21.571;20.006
2024-02-13;23.397;21.827
2024-02-14;23.219;22.944
2024-02-15;22.524;22.565
2024-02-16;21.856;22.089
2024-02-17;21.491;21.614
2024-02-18;21.458;21.406
2024-02-19;20.848;21.418
2024-02-20;20.308;20.875
2024-02-21;20.681;20.544
2024-02-22;21.484;20.94
2024-02-23;21.402;21.534
2024-02-24;22.39;21.323
2024-02-25;22.572;22.268
2024-02-26;22.396;22.175
2024-02-27;22.065;22.082
2024-02-28;23.107;21.813
2024-02-29;23.913;22.803
2024-03-01;23.417;23.25
2024-03-02;22.05;22.739
2024-03-03;20.898;21.687
2024-03-04;20.457;20.933
2024-03-05;21.518;20.711
2024-03-06;21.946;21.685
2024-03-07;22.524;21.802
2024-03-08;23.319;22.315
2024-03-09;22.858;22.884
2024-03-10;22.188;22.349
2024-03-11;23.142;21.921
2024-03-12;23.336;22.858
2024-03-13;23.017;22.774
2024-03-14;21.874;22.552
2024-03-15;23.688;21.598
2024-03-16;23.896;23.443
2024-03-17;22.397;23.11
2024-03-18;22.904;21.949
2024-03-19;22.935;22.685
2024-03-20;22.585;22.478
2024-03-21;22.445;22.256
2024-03-22;22.275;22.18
2024-03-23;20.998;22.041
2024-03-24;21.445;20.947
2024-03-25;21.406;21.62
2024-03-26;21.487;21.363
2024-03-27;21.083;21.525
2024-03-28;21.028;21.107
2024-03-29;22.167;21.169
2024-03-30;22.111;22.131
2024-03-31;22.594;21.824
2024-04-01;22.98;22.359
2024-04-02;21.29;22.537
2024-04-03;21.781;21.016
2024-04-04;21.346;21.845
2024-04-05;22.282;21.18
2024-04-06;21.615;22.202
2024-04-07;21.495;21.312
2024-04-08;22.352;21.468
2024-04-09;22.836;22.133
2024-04-10;22.173;22.385
2024-04-11;21.008;21.75
2024-04-12;20.88;20.888
2024-04-13;22.235;20.965
2024-04-14;21.993;22.094
2024-04-15;22.037;21.578
2024-04-16;22.624;21.782
2024-04-17;23.316;22.209
2024-04-18;23.25;22.705
2024-04-19;22.426;22.524
2024-04-20;22.858;21.854
2024-04-21;21.401;22.392
2024-04-22;21.383;20.934
2024-04-23;22.734;21.309
2024-04-24;22.562;22.327
2024-04-25;22.786;21.918
2024-04-26;22.244;22.25
2024-04-27;22.146;21.656
2024-04-28;22.022;21.729
2024-04-29;22.759;21.564
2024-04-30;22.644;22.25
2024-05-01;22.831;21.952
2024-05-02;22.242;22.214
2024-05-03;22.594;21.602
2024-05-04;22.249;22.073
2024-05-05;21.252;21.61
2024-05-06;21.269;20.863
2024-05-07;20.781;21.04
2024-05-08;20.339;20.522
2024-05-09;20.978;20.263
2024-05-10;19.377;20.857
2024-05-11;19.802;19.271
2024-05-12;20.269;20.066
2024-05-13;21.005;20.188
2024-05-14;21.828;20.828
2024-05-15;21.789;21.375
2024-05-16;20.981;21.213
2024-05-17;19.892;20.554
2024-05-18;19.536;19.745
2024-05-19;20.307;19.603
2024-05-20;20.61;20.274
2024-05-21;21.444;20.35
2024-05-22;20.285;21.079
2024-05-23;20.121;19.86
2024-05-24;20.91;20.048
2024-05-25;20.579;20.63
2024-05-26;20.329;20.189
2024-05-27;20.032;20.095
2024-05-28;20.018;19.827
2024-05-29;19.416;19.87
2024-05-30;19.085;19.306
2024-05-31;19.08;19.151
2024-06-01;19.023;19.151
2024-06-02;18.383;19.083
2024-06-03;19.025;18.525
2024-06-04;19.416;19.218
2024-06-05;19.057;19.347
2024-06-06;18.797;19.015
2024-06-07;19.517;18.863
2024-06-08;20.004;19.511
2024-06-09;19.914;19.755
2024-06-10;19.084;19.629
2024-06-11;19.557;18.931
2024-06-12;19.485;19.513
2024-06-13;18.67;19.26
2024-06-14;19.906;18.625
2024-06-15;19.074;19.855
2024-06-16;17.973;18.771
2024-06-17;17.262;18.129
2024-06-18;18.933;17.611
2024-06-19;17.959;19.182
2024-06-20;19.727;17.889
2024-06-21;18.861;19.828
2024-06-22;19.095;18.513
2024-06-23;18.934;19.127
2024-06-24;19.311;18.767
2024-06-25;19.912;19.211
2024-06-26;19.069;19.604
2024-06-27;18.298;18.783
2024-06-28;18.627;18.328
2024-06-29;18.432;18.694
2024-06-30;18.62;18.413
2024-07-01;19.235;18.663
2024-07-02;19.764;19.123
2024-07-03;18.784;19.48
2024-07-04;18.976;18.552
2024-07-05;18.995;18.97
2024-07-06;19.496;18.845
2024-07-07;20.412;19.338
2024-07-08;19.069;20.013
2024-07-09;19.404;18.694
2024-07-10;19.831;19.354
2024-07-11;20.431;19.512
2024-07-12;20.64;20.038
2024-07-13;18.054;20.103
2024-07-14;16.801;17.858
2024-07-15;17.611;17.342
2024-07-16;18.597;18.102
2024-07-17;18.637;18.768
2024-07-18;18.522;18.676
2024-07-19;18.037;18.637
2024-07-20;17.804;18.231
2024-07-21;17.868;18.145
2024-07-22;17.936;18.222
2024-07-23;18.197;18.277
2024-07-24;18.367;18.511
2024-07-25;18.294;18.621
2024-07-26;18.245;18.558
2024-07-27;18.475;18.556
2024-07-28;19.848;18.777
2024-07-29;20.764;19.947
2024-07-30;21.955;20.484
2024-07-31;21.328;21.467
2024-08-01;19.529;20.713
2024-08-02;19.012;19.397
2024-08-03;19.204;19.281
2024-08-04;19.7;19.461
2024-08-05;19.637;19.881
2024-08-06;19.58;19.756
2024-08-07;19.166;19.786
2024-08-08;18.973;19.441
2024-08-09;19.907;19.395
2024-08-10;17.734;20.247
2024-08-11;18.142;18.154
2024-08-12;18.606;19.114
2024-08-13;18.093;19.222
2024-08-14;20.754;18.819
2024-08-15;22.534;21.288
2024-08-16;22.805;22.241
2024-08-17;22.323;22.369
2024-08-18;20.618;21.979
2024-08-19;21.371;20.624
2024-08-20;21.668;21.658
2024-08-21;21.063;21.644
2024-08-22;22.836;21.198
2024-08-23;23.069;22.899
2024-08-24;23.093;22.689
2024-08-25;21.162;22.868
2024-08-26;19.495;21.154
2024-08-27;20.991;20.173
2024-08-28;22.136;21.711
2024-08-29;20.829;22.324
2024-08-30;20.751;21.109
2024-08-31;21.534;21.404
2024-09-01;21.948;21.996
2024-09-02;22.839;22.25
2024-09-03;21.864;23.017
2024-09-04;22.593;21.999
2024-09-05;23.827;22.959
2024-09-06;25.249;23.777
2024-09-07;23.235;24.881
2024-09-08;21.818;22.884
2024-09-09;21.899;22.228
2024-09-10;22.053;22.411
2024-09-11;22.559;22.5
2024-09-12;23.5;22.948
2024-09-13;23.801;23.677
2024-09-14;24.086;23.784
2024-09-15;24.189;24.048
2024-09-16;24.503;24.086
2024-09-17;24.365;24.377
2024-09-18;25.464;24.193
2024-09-19;24.745;25.228
2024-09-20;23.598;24.331
2024-09-21;24.604;23.608
2024-09-22;25.737;24.65
2024-09-23;26.075;25.351
2024-09-24;26.234;25.513
2024-09-25;26.411;25.639
2024-09-26;25.689;25.771
2024-09-27;25.171;25.11
2024-09-28;25.182;24.835
2024-09-29;24.589;24.89
2024-09-30;24.406;24.344
2024-10-01;24.433;24.324
2024-10-02;24.584;24.324
2024-10-03;25.823;24.449
2024-10-04;28.122;25.495
2024-10-05;26.885;27.248
2024-10-06;27.055;25.725
2024-10-07;24.968;26.332
2024-10-08;24.642;24.266
2024-10-09;25.078;24.53
2024-10-10;22.035;24.751
2024-10-11;22.961;22.025
2024-10-12;22.295;23.528
2024-10-13;24.041;22.439
2024-10-14;24.044;24.283
2024-10-15;21.164;23.755
2024-10-16;20.868;21.419
2024-10-17;19.487;21.704
2024-10-18;20.532;20.306
2024-10-19;20.202;21.566
2024-10-20;20.795;20.878
2024-10-21;21.715;21.59
2024-10-22;21.318;22.16
2024-10-23;21.807;21.671
2024-10-24;22.962;22.213
2024-10-25;21.675;23.046
2024-10-26;23.464;21.709
2024-10-27;22.748;23.609
2024-10-28;23.391;22.444
2024-10-29;22.1;23.343
2024-10-30;20.93;21.93
2024-10-31;19.947;21.272
2024-11-01;20.453;20.499
2024-11-02;21.178;21.093
2024-11-03;21.662;21.536
2024-11-04;23.104;21.853
2024-11-05;19.675;23.028
2024-11-06;21.507;19.745
2024-11-07;21.01;22.15
2024-11-08;19.781;21.022
2024-11-09;20.217;20.301
2024-11-10;21.845;20.78
2024-11-11;20.827;22.047
2024-11-12;21.755;20.867
2024-11-13;20.934;21.981
2024-11-14;20.104;20.952
2024-11-15;19.405;20.511
2024-11-16;21.236;19.958
2024-11-17;20.116;21.655
2024-11-18;21.903;20.259
2024-11-19;22.541;22.18
2024-11-20;23.206;22.226
2024-11-21;22.819;22.857
2024-11-22;20.909;22.369
2024-11-23;20.9;20.855
2024-11-24;20.764;21.18
2024-11-25;21.258;20.941
2024-11-26;21.902;21.439
2024-11-27;22.282;21.868
2024-11-28;22.474;22.114
2024-11-29;22.209;22.236
2024-11-30;23.275;21.989
2024-12-01;22.48;22.973
2024-12-02;21.544;22.057
2024-12-03;22.367;21.499
2024-12-04;22.247;22.309
2024-12-05;21.96;22.011
2024-12-06;23.357;21.866
2024-12-07;23.702;23.095
2024-12-08;23.371;23.112
2024-12-09;22.496;22.871
2024-12-10;22.787;22.174
2024-12-11;22.322;22.588
2024-12-12;21.557;22.076
2024-12-13;22.401;21.558
2024-12-14;21.904;22.392
2024-12-15;20.533;21.761
2024-12-16;21.569;20.758
2024-12-17;20.888;21.863
2024-12-18;21.536;20.992
2024-12-19;21.923;21.794
2024-12-20;22.097;21.91
2024-12-21;21.688;22.067
2024-12-22;20.576;21.68
2024-12-23;21.175;20.818
2024-12-24;20.894;21.52
2024-12-25;20.985;21.089
2024-12-26;20.77;21.293
2024-12-27;21.105;21.042
2024-12-28;22.153;21.395
2024-12-29;21.156;22.205
2024-12-30;20.795;21.172
2024-12-31;20.661;21.122
