data;precipitacao_observada;precipitacao_prevista
2024-03-22;23.709;22.184
2024-03-23;21.786;22.443
2024-03-24;22.588;22.871
2024-03-25;22.475;22.51
2024-03-26;22.589;22.691
2024-03-27;22.139;22.829
2024-03-28;22.044;23.059
2024-03-29;23.234;23.764
2024-03-30;23.698;23.911
2024-03-31;23.755;23.984
2024-04-01;24.219;23.675
2024-04-02;22.602;23.207
2024-04-03;23.036;22.931
2024-04-04;22.537;22.705
2024-04-05;23.588;22.945
2024-04-06;23.001;22.546
2024-04-07;22.882;21.928
2024-04-08;23.527;21.507
2024-04-09;24.287;21.991
2024-04-10;23.493;22.575
2024-04-11;22.075;22.071
2024-04-12;22.215;22.072
2024-04-13;23.433;21.854
2024-04-14;23.381;22.255
2024-04-15;23.324;21.846
2024-04-16;23.795;21.734
2024-04-17;24.536;22.126
2024-04-18;24.727;21.894
2024-04-19;23.99;21.496
2024-04-20;24.075;21.453
2024-04-21;22.79;21.598
2024-04-22;22.836;21.172
2024-04-23;24.206;20.843
2024-04-24;24.023;21.469
2024-04-25;24.342;22.506
2024-04-26;23.843;22.357
2024-04-27;23.612;22.086
2024-04-28;23.858;22.091
2024-04-29;24.424;21.815
2024-04-30;24.218;21.405
2024-05-01;24.421;21.268
2024-05-02;23.895;21.443
2024-05-03;24.376;21.255
2024-05-04;23.722;21.693
2024-05-05;22.682;21.776
2024-05-06;22.617;21.685
2024-05-07;22.267;21.507
2024-05-08;21.939;21.823
2024-05-09;22.528;21.273
2024-05-10;21.185;21.362
2024-05-11;21.738;21.276
2024-05-12;22.18;21.444
2024-05-13;22.758;21.513
2024-05-14;23.53;21.356
2024-05-15;23.37;21.454
2024-05-16;22.762;20.488
2024-05-17;21.601;19.902
2024-05-18;21.31;19.638
2024-05-19;22.072;19.262
2024-05-20;22.361;19.687
2024-05-21;22.99;20.399
2024-05-22;21.748;20.89
2024-05-23;21.854;21.062
2024-05-24;22.628;20.995
2024-05-25;22.273;20.587
2024-05-26;22.016;20.683
2024-05-27;21.703;20.832
2024-05-28;21.855;21.081
2024-05-29;21.018;21.102
2024-05-30;20.745;20.922
2024-05-31;20.831;21.011
2024-06-01;20.463;20.792
2024-06-02;19.807;21.376
2024-06-03;20.485;21.414
2024-06-04;20.91;20.859
2024-06-05;20.638;20.545
2024-06-06;20.396;20.59
2024-06-07;21.152;20.412
2024-06-08;21.37;20.542
2024-06-09;21.364;20.975
2024-06-10;20.802;20.959
2024-06-11;21.45;20.558
2024-06-12;21.071;20.552
2024-06-13;20.299;20.659
2024-06-14;21.465;21.254
2024-06-15;20.642;20.124
2024-06-16;19.797;19.663
2024-06-17;19.217;19.118
2024-06-18;20.568;19.447
2024-06-19;20.147;20.045
2024-06-20;21.38;20.864
2024-06-21;20.581;20.342
2024-06-22;20.708;19.866
2024-06-23;20.639;19.961
2024-06-24;21.156;20.153
2024-06-25;21.889;20.149
2024-06-26;21.093;19.923
2024-06-27;20.333;20.049
2024-06-28;20.71;19.856
2024-06-29;20.433;18.873
2024-06-30;20.746;18.498
2024-07-01;21.533;19.603
2024-07-02;21.571;19.834
2024-07-03;20.4;19.966
2024-07-04;20.739;19.698
2024-07-05;20.703;19.785
2024-07-06;21.21;19.373
2024-07-07;22.169;18.905
2024-07-08;21.091;19.624
2024-07-09;21.592;19.676
2024-07-10;21.898;19.742
2024-07-11;22.273;19.748
2024-07-12;22.386;20.528
2024-07-13;19.672;20.588
2024-07-14;18.604;20.146
2024-07-15;19.273;20.242
2024-07-16;20.22;20.892
2024-07-17;20.372;20.823
2024-07-18;20.238;20.579
2024-07-19;19.973;20.314
2024-07-20;19.54;19.453
2024-07-21;19.533;19.623
2024-07-22;19.648;20.11
2024-07-23;19.936;19.809
2024-07-24;20.103;19.827
2024-07-25;20.061;20.049
2024-07-26;20.185;20.06
2024-07-27;20.46;20.108
2024-07-28;21.726;20.673
2024-07-29;22.696;20.332
2024-07-30;23.736;20.859
2024-07-31;22.849;21.14
2024-08-01;20.934;21.249
2024-08-02;20.419;20.968
2024-08-03;20.776;21.08
2024-08-04;21.317;20.71
2024-08-05;21.245;20.479
2024-08-06;21.211;20.362
2024-08-07;21.149;20.491
2024-08-08;21.177;20.939
2024-08-09;22.262;21.411
2024-08-10;19.686;21.976
2024-08-11;20.108;21.872
2024-08-12;20.869;22.488
2024-08-13;20.23;22.648
2024-08-14;22.645;22.44
2024-08-15;24.149;22.307
2024-08-16;24.523;22.16
2024-08-17;24.121;22.835
2024-08-18;22.747;23.326
2024-08-19;23.265;23.211
2024-08-20;23.781;22.958
2024-08-21;22.988;22.425
2024-08-22;24.498;22.638
2024-08-23;24.982;22.806
2024-08-24;25.091;23.257
2024-08-25;23.265;23.745
2024-08-26;21.148;23.123
2024-08-27;22.707;23.214
2024-08-28;23.767;23.038
2024-08-29;22.439;23.455
2024-08-30;22.367;23.52
2024-08-31;23.395;23.623
2024-09-01;24.054;23.503
2024-09-02;24.858;23.339
2024-09-03;24.196;24.037
2024-09-04;24.928;24.097
2024-09-05;26.039;24.208
2024-09-06;26.849;24.511
2024-09-07;24.963;24.288
2024-09-08;23.436;24.598
2024-09-09;23.829;24.933
2024-09-10;23.794;24.549
2024-09-11;24.158;24.316
2024-09-12;25.174;24.803
2024-09-13;25.659;24.864
2024-09-14;25.725;24.635
2024-09-15;26.042;24.844
2024-09-16;26.499;25.026
2024-09-17;26.406;25.349
2024-09-18;26.912;24.66
2024-09-19;26.2;24.655
2024-09-20;25.357;25.647
2024-09-21;26.443;25.648
2024-09-22;27.52;24.938
2024-09-23;27.958;24.863
2024-09-24;28.088;25.032
2024-09-25;27.988;25.247
2024-09-26;27.476;24.565
2024-09-27;27.491;25.02
2024-09-28;27.464;25.242
2024-09-29;26.072;25.357
2024-09-30;25.928;25.391
2024-10-01;26.05;25.877
2024-10-02;26.8;24.324
2024-10-03;28.172;24.725
2024-10-04;30.066;25.507
2024-10-05;29.12;25.639
2024-10-06;29.295;25.414
2024-10-07;27.234;25.25
2024-10-08;26.16;25.581
2024-10-09;26.872;25.623
2024-10-10;23.411;25.459
2024-10-11;24.797;24.68
2024-10-12;23.564;25.533
2024-10-13;25.638;24.674
2024-10-14;25.754;24.693
2024-10-15;21.969;25.502
2024-10-16;22.232;25.572
2024-10-17;20.758;25.875
2024-10-18;21.93;25.412
2024-10-19;21.284;24.324
2024-10-20;21.66;24.608
2024-10-21;22.786;23.23
2024-10-22;22.635;22.767
2024-10-23;23.073;22.284
2024-10-24;24.503;22.214
2024-10-25;22.712;23.43
2024-10-26;24.876;22.723
2024-10-27;24.079;23.786
2024-10-28;24.703;24.154
2024-10-29;23.31;24.439
2024-10-30;21.934;24.094
2024-10-31;20.852;22.473
2024-11-01;21.338;22.292
2024-11-02;22.376;22.06
2024-11-03;22.702;21.479
2024-11-04;24.329;21.179
2024-11-05;20.166;22.563
2024-11-06;22.596;23.673
2024-11-07;22.09;22.748
2024-11-08;20.847;22.757
2024-11-09;20.967;23.723
2024-11-10;23.432;22.916
2024-11-11;22.318;22.797
2024-11-12;22.889;22.319
2024-11-13;22.247;22.728
2024-11-14;21.01;22.436
2024-11-15;19.835;21.793
2024-11-16;22.112;21.647
2024-11-17;20.948;22.194
2024-11-18;23.181;22.059
2024-11-19;24.102;21.54
2024-11-20;24.414;21.309
2024-11-21;24.382;21.872
2024-11-22;22.499;22.608
2024-11-23;22.025;21.924
2024-11-24;21.939;22.35
2024-11-25;22.343;22.126
2024-11-26;23.027;22.832
2024-11-27;23.494;22.915
2024-11-28;24.077;22.72
2024-11-29;23.547;22.241
2024-11-30;24.448;21.884
2024-12-01;23.766;22.628
2024-12-02;22.762;22.944
2024-12-03;23.849;22.544
2024-12-04;23.607;22.339
2024-12-05;23.266;21.948
2024-12-06;25.166;21.84
2024-12-07;25.63;22.249
2024-12-08;25.276;22.141
2024-12-09;24.374;21.797
2024-12-10;24.753;21.599
2024-12-11;23.626;21.978
2024-12-12;22.873;22.112
2024-12-13;23.739;22.66
2024-12-14;23.521;22.966
2024-12-15;21.716;23.056
2024-12-16;22.814;23.123
2024-12-17;22.341;22.968
2024-12-18;22.714;22.818
2024-12-19;23.621;22.225
2024-12-20;23.592;22.334
2024-12-21;22.784;22.23
2024-12-22;21.708;22.59
2024-12-23;22.569;22.195
2024-12-24;21.996;21.083
2024-12-25;21.987;21.665
2024-12-26;21.768;21.47
2024-12-27;22.278;22.195
2024-12-28;23.433;22.891
2024-12-29;22.216;23.528
2024-12-30;21.934;22.823
2024-12-31;21.801;21.856
